url,inserted_at
https://en.m.wikipedia.org/wiki/Lights_out_(manufacturing),2015-03-18 13:18:45
https://en.m.wikipedia.org/wiki/Veblen_good,2015-03-12 11:52:52
https://en.m.wikipedia.org/wiki/Albatross_(metaphor),2018-11-14 15:03:17
https://en.m.wikipedia.org/wiki/Alfred_Korzybski,2017-07-06 20:01:44
https://en.m.wikipedia.org/wiki/Astroturfing,2017-02-12 08:28:34
https://en.m.wikipedia.org/wiki/Japanese_Peruvians#The_Nikkei_cuisine,2020-01-25 19:23:39
https://en.m.wikipedia.org/wiki/At-will_employment,2019-02-23 16:45:56
https://en.m.wikipedia.org/wiki/Attention_economy,2017-06-26 14:53:08
https://en.m.wikipedia.org/wiki/Battered_person_syndrome,2017-06-16 14:06:31
https://en.m.wikipedia.org/wiki/Betel_nut_beauty,2018-08-02 11:27:45
https://en.m.wikipedia.org/wiki/Blue_Moon_(beer),2018-08-01 06:49:18
https://en.m.wikipedia.org/wiki/Bright-line_rule,2017-06-12 07:04:51
https://en.m.wikipedia.org/wiki/Burden_of_proof_(law),2018-05-16 10:25:23
https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,2019-02-24 17:49:39
https://en.m.wikipedia.org/wiki/Cargo_cult_programming,2019-03-26 07:23:32
https://en.m.wikipedia.org/wiki/Clever_Hans,2017-02-25 11:40:54
https://en.m.wikipedia.org/wiki/Codependency,2016-06-05 14:51:10
https://en.m.wikipedia.org/wiki/Compulsion_loop,2019-07-16 01:53:15
https://en.m.wikipedia.org/wiki/Conscientiousness,2018-11-13 19:43:01
https://en.m.wikipedia.org/wiki/Contrast_effect,2017-08-29 23:49:43
https://en.m.wikipedia.org/wiki/Cumbia,2019-03-08 19:22:02
https://en.m.wikipedia.org/wiki/Cynefin_framework,2016-11-27 23:17:09
https://en.m.wikipedia.org/wiki/Decoy_effect,2019-01-05 05:39:09
https://en.m.wikipedia.org/wiki/Double_bind,2018-12-18 20:14:19
https://en.m.wikipedia.org/wiki/Dream_pop,2017-06-28 18:13:18
https://en.m.wikipedia.org/wiki/Dutch_auction,2018-01-21 08:59:58
https://en.m.wikipedia.org/wiki/End-of-history_illusion,2017-05-24 22:10:33
https://en.m.wikipedia.org/wiki/Exceptionalism,2016-10-16 10:30:48
https://en.m.wikipedia.org/wiki/Extended_file_attributes,2018-07-01 01:59:35
https://en.m.wikipedia.org/wiki/Externality,2017-06-19 07:54:31
https://en.m.wikipedia.org/wiki/False_consensus_effect,2017-05-04 10:20:14
https://en.m.wikipedia.org/wiki/Falsifiability,2018-01-24 21:10:08
https://en.m.wikipedia.org/wiki/Faust,2018-07-23 09:30:42
https://en.m.wikipedia.org/wiki/Fermat's_principle,2018-11-09 00:56:57
https://en.m.wikipedia.org/wiki/Florida_Man,2019-07-16 19:51:38
https://en.m.wikipedia.org/wiki/GQM,2017-07-17 17:18:52
https://en.m.wikipedia.org/wiki/Hedonic_treadmill,2016-12-04 11:46:43
https://en.m.wikipedia.org/wiki/Heuristic,2017-05-29 07:26:36
https://en.m.wikipedia.org/wiki/History_of_Chinese_Americans,2020-04-04 23:21:22
https://en.m.wikipedia.org/wiki/Homomorphic_encryption,2018-07-30 16:34:22
https://en.m.wikipedia.org/wiki/Hypocrisy,2016-06-02 13:37:55
https://en.m.wikipedia.org/wiki/Impact_bias,2019-12-30 16:51:49
https://en.m.wikipedia.org/wiki/Inflection_point,2018-06-11 07:48:19
https://en.m.wikipedia.org/wiki/Information_hiding,2018-07-17 10:14:44
https://en.m.wikipedia.org/wiki/Ipso_facto,2020-04-13 04:45:25
https://en.m.wikipedia.org/wiki/Jean-Michel_Jarre,2019-07-23 04:04:21
https://en.m.wikipedia.org/wiki/Kayfabe,2019-01-23 04:02:22
https://en.m.wikipedia.org/wiki/Anchoring,2016-06-05 07:08:06
https://en.m.wikipedia.org/wiki/Kar%C5%8Dshi,2016-12-04 11:53:25
https://en.m.wikipedia.org/wiki/Chauvet_Cave,2015-05-22 13:05:22
https://en.m.wikipedia.org/wiki/Linguistic_relativity,2018-01-26 22:42:27
https://en.m.wikipedia.org/wiki/Management_by_objectives,2018-11-17 17:48:27
https://en.m.wikipedia.org/wiki/Meno%27s_slave,2017-06-12 06:21:43
https://en.m.wikipedia.org/wiki/Menudo_(soup),2019-06-25 17:05:09
https://en.m.wikipedia.org/wiki/Meritocracy,2018-05-16 00:11:48
https://en.m.wikipedia.org/wiki/Merkle_tree,2018-07-28 00:49:14
https://en.m.wikipedia.org/wiki/Nothing_to_hide_argument,2019-02-26 18:28:04
https://en.m.wikipedia.org/wiki/Ontology,2016-11-06 09:59:48
https://en.m.wikipedia.org/wiki/Open-source_intelligence,2016-10-21 22:07:04
https://en.m.wikipedia.org/wiki/Overton_window,2018-09-24 22:10:28
https://en.m.wikipedia.org/wiki/PDCA,2019-04-18 16:00:14
https://en.m.wikipedia.org/wiki/Paradox_of_value,2019-05-18 19:09:39
https://en.m.wikipedia.org/wiki/Peak_experience,2016-10-11 11:56:47
https://en.m.wikipedia.org/wiki/Peter_principle,2018-06-24 22:26:58
https://en.m.wikipedia.org/wiki/Possession_is_nine-tenths_of_the_law,2017-07-25 21:20:09
https://en.m.wikipedia.org/wiki/Price_elasticity_of_demand,2017-07-03 17:52:16
https://en.m.wikipedia.org/wiki/Prisoner's_dilemma,2019-01-09 18:33:04
https://en.m.wikipedia.org/wiki/Progress,_plans,_problems,2019-05-06 23:45:06
https://en.m.wikipedia.org/wiki/Psychological_contract,2018-11-13 02:50:31
https://en.m.wikipedia.org/wiki/Quis_custodiet_ipsos_custodes%3F,2019-05-14 00:26:06
https://en.m.wikipedia.org/wiki/Reactive_programming,2017-05-18 09:03:55
https://en.m.wikipedia.org/wiki/Reid_technique,2017-01-29 09:02:07
https://en.m.wikipedia.org/wiki/Rubric_(academic),2018-06-23 10:27:18
https://en.m.wikipedia.org/wiki/S%27more,2019-11-21 19:44:03
https://en.m.wikipedia.org/wiki/Saltine_cracker,2020-04-09 00:21:28
https://en.m.wikipedia.org/wiki/Scientific_management,2018-11-13 22:05:06
https://en.m.wikipedia.org/wiki/Scientism,2018-09-24 01:38:52
https://en.m.wikipedia.org/wiki/Self-actualization,2017-07-29 10:29:20
https://en.m.wikipedia.org/wiki/Semantic_satiation,2017-02-10 06:43:57
https://en.m.wikipedia.org/wiki/Silicon_Beach,2019-04-13 02:44:42
https://en.m.wikipedia.org/wiki/Socratic_method,2017-06-12 06:16:41
https://en.m.wikipedia.org/wiki/Spotlight_effect,2019-12-11 05:04:46
https://en.m.wikipedia.org/wiki/Stable_marriage_problem,2018-07-31 22:52:49
https://en.m.wikipedia.org/wiki/Subset_sum_problem,2018-11-17 04:45:44
https://en.m.wikipedia.org/wiki/Syd_Barrett,2016-08-19 12:31:51
https://en.m.wikipedia.org/wiki/Tacit_knowledge,2017-02-09 04:42:11
https://en.m.wikipedia.org/wiki/Teetotalism,2019-01-10 06:16:30
https://en.m.wikipedia.org/wiki/Terror_management_theory,2017-05-24 22:10:53
https://en.m.wikipedia.org/wiki/The_Myth_of_Sisyphus,2017-06-12 06:20:42
https://en.m.wikipedia.org/wiki/Transference,2017-09-24 09:09:02
https://en.m.wikipedia.org/wiki/Trolley_problem,2017-04-08 23:20:38
https://en.m.wikipedia.org/wiki/Uncertainty_avoidance,2018-11-14 00:28:54
https://en.m.wikipedia.org/wiki/Universal_Darwinism,2017-06-03 23:09:38
https://en.m.wikipedia.org/wiki/VRIO,2018-11-16 01:20:13
https://en.m.wikipedia.org/wiki/Visual_language,2017-05-15 22:20:14
https://en.m.wikipedia.org/wiki/Wim_Hof,2019-01-18 16:23:47
https://en.m.wikipedia.org/wiki/Zeigarnik_effect,2016-10-15 20:50:09
https://en.wikipedia.org/wiki/A_Modest_Proposal,2018-05-01 02:45:52
https://en.wikipedia.org/wiki/Cover_your_ass,2019-01-05 21:09:19
